distance_m,elapsed_time_s,elevation_gain_m,mean_km_per_week,mean_training_days_per_week,gender_binary
12111.9,3235,76.9,85.69425923913043,6.603260869565218,0.0
9948.0,3880,220.0,32.84034026845637,2.7583892617449663,0.0
8735.9,3291,102.0,35.52483238434164,2.6334519572953736,0.0
19000.0,5510,0.0,85.69425923913043,6.603260869565218,0.0
11.0,92,0.0,33.0503197740113,2.4293785310734464,0.0
10002.7,2681,12.8,42.844456056338025,3.352112676056338,0.0
6208.6,2238,10.3,26.455639781021898,3.062043795620438,0.0
8370.8,2339,45.7,85.69425923913043,6.603260869565218,0.0
15635.0,5560,295.0,44.45545136986301,3.0136986301369864,1.0
18891.9,7320,754.0,49.88999083333333,4.204166666666667,0.0
19893.4,7306,353.1,35.89793122807018,3.0,1.0
10126.9,3175,51.0,53.12736193548387,4.909677419354839,0.0
10628.6,3248,242.0,74.60554748201439,5.532374100719425,0.0
4410.8,1758,11.8,17.082857,1.92,1.0
4867.1,2390,6.0,54.92121412429378,4.203389830508475,0.0
11562.0,3781,91.0,44.45545136986301,3.0136986301369864,1.0
3120.4,928,2.0,10.871436170212766,1.6170212765957446,0.0
4113.0,1437,17.0,32.60410541516246,2.9025270758122743,0.0
4510.3,1869,13.7,10.97838409090909,1.6590909090909092,1.0
2067.0,500,27.4,33.352265263157896,3.594736842105263,1.0
5225.0,2062,131.0,31.66878714285714,3.1,0.0
12891.6,3933,158.7,29.195438216560508,2.394904458598726,0.0
7871.8,2740,133.6,20.43143297297297,2.562162162162162,1.0
20475.9,7359,804.1,32.581760869565215,3.1739130434782608,0.0
21912.7,15870,1804.1,26.98636307692308,2.253846153846154,1.0
10608.6,3569,125.0,74.60554748201439,5.532374100719425,0.0
6838.0,2587,36.9,49.11117622377622,4.65034965034965,0.0
13552.1,4306,192.0,23.380741666666665,1.9583333333333333,0.0
167.2,299,12.0,31.66878714285714,3.1,0.0
5045.1,2038,198.6,49.3882,3.730769230769231,0.0
10205.6,3165,17.5,34.08691495327103,2.7009345794392523,0.0
4498.2,1726,67.2,49.3882,3.730769230769231,0.0
12851.1,9296,1062.0,26.86536751592357,2.738853503184713,0.0
12204.9,4107,86.3,35.52483238434164,2.6334519572953736,0.0
13722.9,4183,0.0,21.73993956043956,2.3461538461538463,0.0
8955.4,3118,136.7,26.961164383561645,2.8767123287671232,0.0
2315.0,824,4.0,26.820742545454547,2.3854545454545453,0.0
10743.4,3512,139.8,29.195438216560508,2.394904458598726,0.0
8289.8,2324,21.0,33.0503197740113,2.4293785310734464,0.0
21267.5,6269,140.5,37.39672716049383,3.2222222222222223,0.0
12259.2,3786,83.0,26.820742545454547,2.3854545454545453,0.0
6428.0,2081,14.0,32.84034026845637,2.7583892617449663,0.0
5374.0,1833,21.0,27.33715833333333,2.5185185185185186,0.0
20054.5,5401,241.0,49.88999083333333,4.204166666666667,0.0
7104.2,2222,151.1,38.18772439024391,3.642276422764228,0.0
6666.4,2253,20.0,22.89576303317536,2.3696682464454977,0.0
8791.1,2542,79.0,25.767520512820514,2.9786324786324787,0.0
10205.7,3692,80.9,49.3882,3.730769230769231,0.0
8247.5,2703,76.4,18.62444461538461,1.646153846153846,0.0
1905.3,533,18.0,50.56401538461538,5.307692307692308,0.0
2477.5,1028,9.8,34.08691495327103,2.7009345794392523,0.0
13346.3,5853,404.0,32.18479830508475,3.0338983050847457,1.0
10828.4,3480,140.3,35.89793122807018,3.0,1.0
40781.1,24517,2221.0,26.86536751592357,2.738853503184713,0.0
13569.3,4502,60.7,34.08691495327103,2.7009345794392523,0.0
15301.9,4753,1008.0,15.224992134831462,1.7191011235955056,0.0
10001.5,3060,36.0,34.219524175824176,2.5824175824175826,0.0
10616.8,3419,233.5,16.10456875,1.421875,0.0
10792.4,3036,229.9,31.59922336065574,2.2991803278688523,0.0
13702.3,11569,1235.9,28.74646322580645,2.832258064516129,1.0
17905.0,15411,1637.0,32.60410541516246,2.9025270758122743,0.0
