distance_m;elapsed_time_s;elevation_gain_m;mean_km_per_week;mean_training_days_per_week;gender_binary;level
4941;1721;35;37,90207398;3,520325203;0;2
4941;1941;11,4;21,61906646;2,012658228;0;2
4940,2;1226;0;21,61906646;2,012658228;0;2
4939,3;1689;100,3;25,80203762;2,732673267;0;2
4938,8;1549;16;52,1345837;5,75;0;3
4938;3891;450;25,59271481;2,101851852;0;2
4936,6;2336;21;55,17231143;3,96;0;3
4936;2291;16;44,22259315;2,835616438;1;2
4936;2707;427;37,90207398;3,520325203;0;2
4933,1;1512;48,3;31,64926337;2,238683128;0;3
4933;1794;197,4;27,79998768;2,611374408;0;2
4932,6;1581;0;32,91861949;2,861538462;0;3
4931,6;1269;11,8;35,55126737;2,78245614;1;3
4930,8;1738;28,5;55,17231143;3,96;0;3
4929,5;1114;13;28,21866111;2,272222222;0;2
4929,1;1901;46,1;48,46767133;4,251748252;0;3
4928,6;1863;15,7;17,062791;1,91;1;2
4928,2;3372;631,5;15,6107747;1,56626506;0;2
4926,6;1525;0;32,79745989;2,962566845;1;2
4923,7;1400;0;26,15680562;2,404494382;0;2
4922,9;1197;19,5;32,06867385;2,261538462;0;2
4922,5;1245;11,9;18,72186822;1,635658915;0;2
4922,4;1371;73;26,15680562;2,404494382;0;2
4922;1228;29,1;32,91861949;2,861538462;0;3
4921,8;2939;532;27,11409602;2,462686567;0;2
4921,7;1224;11,9;35,55126737;2,78245614;1;3
4920,2;1432;82;30,50147568;2,8;1;2
4919,4;1485;42;25,96158194;2,656387665;0;2
4916,9;1272;24,2;38,475968;3,34;1;2
4916,1;1707;36;26,47819712;2,49201278;0;2
4915,8;1751;125,8;49,11819406;3,559440559;0;3
4915,5;948;0;49,83286849;3,903361345;0;3
4914,9;1902;73,4;12,50950127;2,037974684;1;2
4914,7;1974;70;15,43187159;1,869318182;0;2
4914,4;1456;86,6;14,60037528;1,393258427;0;2
4914,3;1894;10;26,47819712;2,49201278;0;2
4914,2;1864;2;26,15680562;2,404494382;0;2
4913,9;1500;13,1;26,15680562;2,404494382;0;2
4913,9;1844;226,6;39,94094043;3,468085106;1;3
4913,7;1580;3;30,50147568;2,8;1;2
4913,1;1624;90;56,81350076;5,114503817;1;3
4913,1;1624;90;56,81350076;5,114503817;1;3
4913;1615;16;22,34875467;1,906666667;0;2
4912;2982;411;37,90207398;3,520325203;0;2
4911,9;1570;23,7;14,60037528;1,393258427;0;2
4911,6;1069;10,1;35,55126737;2,78245614;1;3
4910;1878;89;22,99254251;2,173913043;0;2
4908,3;1771;8;26,42394618;2,145454545;0;2
4907,5;1957;24,4;24,57898271;2,247663551;0;2
4906,3;4413;58;15,65447328;1,948275862;1;2
4906;3667;242;24,44736727;2,345454545;0;2
4904,9;1631;52,1;34,30544052;2,758169935;0;2
4904,9;1736;0;27,79998768;2,611374408;0;2
4904,8;10052;7;27,11409602;2,462686567;0;2
4904,6;1519;11;29,28912177;2,306122449;0;2
4904,4;2266;29,3;30,50147568;2,8;1;2
4900,3;1866;56;15,65447328;1,948275862;1;2
4900,3;1867;37;51,28863644;3,796610169;0;3
4900;1743;0;24,24953391;1,973913043;0;2
4899,5;2032;0;32,79745989;2,962566845;1;2
4898,9;1994;92,2;12,21489853;1,676470588;1;2
4897,9;1488;98,2;18,72186822;1,635658915;0;2
4897,1;1883;65,3;32,05869068;2,949152542;1;2
4897;1951;101,3;32,79745989;2,962566845;1;2
4896,8;2932;569,8;35,42519715;2,544483986;0;2
4896;2887;409;37,90207398;3,520325203;0;2
4894,7;1301;16,3;18,72186822;1,635658915;0;2
4893,2;1077;64;26,70785694;2,4375;0;2
4892,8;2472;16,2;10,91062093;1,534883721;1;2
4892,3;1896;8;25,96158194;2,656387665;0;2
4892;1259;23,5;32,79745989;2,962566845;1;2
4892;1451;2,2;22,99254251;2,173913043;0;2
4890,9;1472;5;52,1345837;5,75;0;3
4890,6;1590;21;32,40464657;2,783393502;0;2
4888;1148;139;22,99254251;2,173913043;0;2
4887,1;1376;23,8;22,99254251;2,173913043;0;2
4886,9;1802;16,1;37,34840617;3,172839506;0;2
4886,2;1520;30;52,1345837;5,75;0;3
4885,8;1661;82;35,01329236;3,649681529;0;3
4885,5;2232;106;51,28863644;3,796610169;0;3
4885,2;1554;50,2;53,04576144;4,509803922;0;3
4884;1386;32,1;11,49623929;1,464285714;0;2
4883,3;1473;19;22,34875467;1,906666667;0;2
4883,2;8079;485;31,64926337;2,238683128;0;3
4882,8;1645;10,1;85,100225;6,326086957;0;3
4880,6;1777;5,9;26,47819712;2,49201278;0;2
4879,8;1925;24,3;24,57898271;2,247663551;0;2
4879,6;2372;4;15,43187159;1,869318182;0;2
4878,6;2764;0;32,79745989;2,962566845;1;2
4876,4;1923;16,7;16,18071008;1,823529412;1;2
4875,7;1552;9,2;37,34840617;3,172839506;0;2
4875,7;1889;75;49,80321538;4,923076923;0;2
4874,9;1691;22;30,50147568;2,8;1;2
4873;2051;65;44,22259315;2,835616438;1;2
4871,9;1120;19,5;26,15680562;2,404494382;0;2
4870,8;1274;17,9;32,06867385;2,261538462;0;2
4870,4;1796;2,5;13,65746667;1,587301587;0;2
4868;1726;61,4;49,11819406;3,559440559;0;3
4867,1;2390;6;55,17231143;3,96;0;3
4865,6;1629;63;31,63460946;2,243243243;0;2
4865,2;1420;8;52,1345837;5,75;0;3
4864;1361;84;28,76237419;1,720430108;0;2
4863,6;1792;56,7;11,49623929;1,464285714;0;2
4863,4;1611;48;25,96158194;2,656387665;0;2
4862;1845;10;15,43187159;1,869318182;0;2
4861,5;1794;24,3;55,17231143;3,96;0;3
4858,9;1814;23,8;24,57898271;2,247663551;0;2
4857,6;6235;1090,3;34,30544052;2,758169935;0;2
4857;1649;16;48,57342128;3,964539007;0;2
4857;2013;5;26,47819712;2,49201278;0;2
4857;2749;134;15,38307037;1,888888889;1;2
4856,2;1836;22;21,55697246;2,014492754;0;2
4855,9;1240;25,6;38,475968;3,34;1;2
4853,3;1179;17,8;32,06867385;2,261538462;0;2
4852,9;1656;106,3;31,64926337;2,238683128;0;3
4851,4;1352;0;27,11409602;2,462686567;0;2
4851,4;1646;19,5;31,64926337;2,238683128;0;3
4851,1;2380;18,5;37,34840617;3,172839506;0;2
4850,4;2573;4;48,57342128;3,964539007;0;2
4850;4263;67;15,65447328;1,948275862;1;2
4849,7;1820;7,3;16,18071008;1,823529412;1;2
4849;1442;75,7;14,60037528;1,393258427;0;2
4848,3;1824;60,7;32,05869068;2,949152542;1;2
4848;1914;113;37,90207398;3,520325203;0;2
4847,4;1752;53,7;32,05869068;2,949152542;1;2
4847,4;1801;12,4;39,94094043;3,468085106;1;3
4846,7;1814;13,4;37,34840617;3,172839506;0;2
4845,4;1604;26;25,77178523;2,488636364;0;2
4845,2;1604;0;17,062791;1,91;1;2
4844,5;1322;55;52,1345837;5,75;0;3
4843,2;943;0;49,83286849;3,903361345;0;3
4842,9;1940;7;26,47819712;2,49201278;0;2
